2026-07-03 03:43:05
20260703 042350.626 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260703 042350.626 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20260703 042350.626 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20260703 042350.626 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20260703 042350.626 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20260703 042350.626 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20260703 042350.626 INFO             PET0 Running with ESMF Version   : develop+g9764fd2b2f
20260703 042350.626 INFO             PET0 ESMF library build date/time: "Jul  3 2026" "03:41:45"
20260703 042350.626 INFO             PET0 ESMF library build location : /tmp/gfortran_12.3.0_mpi_O_develop/esmf
20260703 042350.626 INFO             PET0 ESMF_COMM                   : mpi
20260703 042350.626 INFO             PET0 ESMF_MOAB                   : enabled
20260703 042350.626 INFO             PET0 ESMF_LAPACK                 : enabled
20260703 042350.626 INFO             PET0 ESMF_NETCDF                 : enabled
20260703 042350.626 INFO             PET0 ESMF_PNETCDF                : disabled
20260703 042350.626 INFO             PET0 ESMF_PIO                    : enabled
20260703 042350.626 INFO             PET0 ESMF_YAMLCPP                : enabled
20260703 042350.626 INFO             PET0 mainApp STARTING
20260703 042350.628 INFO             PET0 advection diffusion driver: InitializeGeneric intro.
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {IS}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeGeneric intro {ES}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0   >>>advection diffusion driver: entered Initialize (phase=<none>) without valid internal Clock.
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeP0 intro.
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {IS}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 intro {ES}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0     >>>advection diffusion driver: entered Initialize (phase=<none>) without valid internal Clock.
20260703 042350.628 INFO             PET0     <<<advection diffusion driver: leaving Initialize (phase=<none>) without valid internal Clock.
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {IS}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {ES}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {ES}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeP0 extro {ES}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeP0 extro.
20260703 042350.628 INFO             PET0   advection diffusion driver: InitializeIPDv02p1 intro.
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeIPDv02p1 intro {IS}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeIPDv02p1 intro {IS}:State object is invalid! Not created or deleted!
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeIPDv02p1 intro {IS}:--- StateLog() end -------------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeIPDv02p1 intro {ES}:--- StateLog() start -----------------
20260703 042350.628 INFO             PET0     advection diffusion driver: InitializeIPDv02p1 intro {ES}:State object is invalid! Not created or deleted!
